Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	FoldChange	BFDR	boosted_by	PreyGeneID	ctrlIntensitySum	AvgctrlIntensity
MEPCE	gi|4506017|gn|PPP2CA:5515|	PPP2CA	0.465	0.465	0.465	1	0.495	.	.	.	.	.	-0.662	0.000		5515	0.495	0.495
MEPCE	gi|15431301|gn|RPL7:6129|	RPL7	2.398	2.398	2.398	1	.	.	.	.	.	.	-0.801	0.000		6129	0	0
MEPCE	gi|4503513|gn|EIF3I:8668|	EIF3I	1.481	1.481	1.481	1	10.666	.	.	.	.	.	0.626	0.000		8668	10.666	10.666
MEPCE	gi|28373192|gn|ADRM1:11047|	ADRM1	0.212	0.212	0.212	1	0.306	.	.	.	.	.	-0.179	0.000		11047	0.306	0.306
MEPCE	gi|47271406|gn|MEPCE:56257|	MEPCE	22.131	22.131	22.131	1	.	.	.	.	.	.	-7.394	0.000		56257	0	0
MEPCE	gi|320461711|gn|PRDX1:5052|	PRDX1	2.841	2.841	2.841	1	3.223	.	.	.	.	.	2.428	0.000		5052	3.223	3.223
MEPCE	gi|4507947|gn|YARS:8565|	YARS	0.723	0.723	0.723	1	0.749	.	.	.	.	.	-2.507	0.000		8565	0.749	0.749
MEPCE	gi|10716563|gn|CANX:821|	CANX	0.595	0.595	0.595	1	.	.	.	.	.	.	-0.199	0.000		821	0	0
MEPCE	gi|226371750|gn|TUT1:64852|	TUT1	0.121	0.121	0.121	1	.	.	.	.	.	.	-0.040	0.000		64852	0	0
MEPCE	gi|66346679|gn|SERBP1:26135|	SERBP1	0.845	0.845	0.845	1	0.284	.	.	.	.	.	-0.672	0.000		26135	0.284	0.284
MEPCE	gi|5453607|gn|CCT7:10574|	CCT7	1.446	1.446	1.446	1	1.474	.	.	.	.	.	3.730	0.000		10574	1.474	1.474
MEPCE	gi|6912488|gn|LSM5:23658|	LSM5	1.031	1.031	1.031	1	0.172	.	.	.	.	.	-0.585	0.000		23658	0.172	0.172
MEPCE	gi|42544159|gn|HSPH1:10808|	HSPH1	0.190	0.190	0.190	1	0.417	.	.	.	.	.	-0.217	0.000		10808	0.417	0.417
MEPCE	gi|5174449|gn|H1FX:8971|	H1FX	0.919	0.919	0.919	1	0.627	.	.	.	.	.	-1.972	0.000		8971	0.627	0.627
MEPCE	gi|23397429|gn|EIF3M:10480|	EIF3M	0.349	0.349	0.349	1	5.473	.	.	.	.	.	0.205	0.000		10480	5.473	5.473
MEPCE	gi|10863977|gn|LSM2:57819|	LSM2	1.033	1.033	1.033	1	.	.	.	.	.	.	-0.345	0.000		57819	0	0
MEPCE	gi|7705706|gn|RPS27L:51065|	RPS27L	0.080	0.080	0.080	1	0.697	.	.	.	.	.	-0.222	0.000		51065	0.697	0.697
MEPCE	gi|42558252|gn|CHCHD1:118487|	CHCHD1	0.224	0.224	0.224	1	0.186	.	.	.	.	.	-0.133	0.000		118487	0.186	0.186
MEPCE	gi|209969703|gn|RCC2:55920|	RCC2	0.904	0.904	0.904	1	0.795	.	.	.	.	.	-3.941	0.000		55920	0.795	0.795
MEPCE	gi|29568103|gn|SNRNP70:6625|	SNRNP70	0.208	0.208	0.208	1	0.214	.	.	.	.	.	-0.135	0.000		6625	0.214	0.214
MEPCE	gi|25777602|gn|PSMD2:5708|	PSMD2	1.021	1.021	1.021	1	1.645	.	.	.	.	.	2.051	0.000		5708	1.645	1.645
MEPCE	gi|11136628|gn|EEF1B2:1933|	EEF1B2	1.514	1.514	1.514	1	1.537	.	.	.	.	.	3.524	0.000		1933	1.537	1.537
MEPCE	gi|33350932|gn|DYNC1H1:1778|	DYNC1H1	0.633	0.633	0.633	1	0.605	.	.	.	.	.	-1.261	0.000		1778	0.605	0.605
MEPCE	gi|32189392|gn|PRDX2:7001|	PRDX2	1.257	1.257	1.257	1	1.792	.	.	.	.	.	2.155	0.000		7001	1.792	1.792
MEPCE	gi|4506407|gn|RANBP1:5902|	RANBP1	0.328	0.328	0.328	1	0.523	.	.	.	.	.	-0.506	0.000		5902	0.523	0.523
MEPCE	gi|14269586|gn|MRPS26:64949|	MRPS26	0.356	0.356	0.356	1	.	.	.	.	.	.	-0.119	0.000		64949	0	0
MEPCE	gi|15055539|gn|RPS2:6187|	RPS2	2.816	2.816	2.816	1	3.161	.	.	.	.	.	2.447	0.000		6187	3.161	3.161
MEPCE	gi|148536853|gn|COPA:1314|	COPA	0.686	0.686	0.686	1	0.570	.	.	.	.	.	-1.220	0.000		1314	0.57	0.57
MEPCE	gi|78000181|gn|RPL14:9045|	RPL14	1.374	1.374	1.374	1	.	.	.	.	.	.	-0.459	0.000		9045	0	0
MEPCE	gi|11321591|gn|HMGB2:3148|	HMGB2	0.888	0.888	0.888	1	0.618	.	.	.	.	.	-1.845	0.000		3148	0.618	0.618
MEPCE	gi|4503659|gn|FAU:2197|	FAU	1.639	1.639	1.639	1	1.789	.	.	.	.	.	2.817	0.000		2197	1.789	1.789
MEPCE	gi|14249678|gn|RBM17:84991|	RBM17	0.364	0.364	0.364	1	.	.	.	.	.	.	-0.122	0.000		84991	0	0
MEPCE	gi|68509926|gn|DHX15:1665|	DHX15	1.243	1.243	1.243	1	0.591	.	.	.	.	.	-2.363	0.000		1665	0.591	0.591
MEPCE	gi|14141193|gn|RPS9:6203|	RPS9	3.321	3.321	3.321	1	3.039	.	.	.	.	.	2.988	0.000		6203	3.039	3.039
MEPCE	gi|38327039|gn|HSPA4:3308|	HSPA4	0.980	0.980	0.980	1	1.167	.	.	.	.	.	6.335	0.000		3308	1.167	1.167
MEPCE	gi|7657015|gn|RTCB:51493|	RTCB	1.381	1.381	1.381	1	2.222	.	.	.	.	.	1.729	0.000		51493	2.222	2.222
MEPCE	gi|20127479|gn|RBM10:8241|	RBM10	2.511	2.511	2.511	1	1.641	.	.	.	.	.	5.070	0.000		8241	1.641	1.641
MEPCE	gi|4503481|gn|EEF1G:1937|	EEF1G	1.569	1.569	1.569	1	1.620	.	.	.	.	.	3.253	0.000		1937	1.62	1.62
MEPCE	gi|4885379|gn|HIST1H1E:3008|	HIST1H1E	4.804	4.804	4.804	1	3.725	.	.	.	.	.	3.653	0.000		3008	3.725	3.725
MEPCE	gi|21070976|gn|DIABLO:56616|	DIABLO	0.695	0.695	0.695	1	0.165	.	.	.	.	.	-0.385	0.000		56616	0.165	0.165
MEPCE	gi|33356163|gn|EIF1AY:9086|	EIF1AY	1.115	1.115	1.115	1	0.824	.	.	.	.	.	-5.742	0.000		9086	0.824	0.824
MEPCE	gi|387527972|gn|DCTN2:10540|	DCTN2	1.207	1.207	1.207	1	1.076	.	.	.	.	.	16.484	0.000		10540	1.076	1.076
MEPCE	gi|58761500|gn|OLA1:29789|	OLA1	0.286	0.286	0.286	1	0.463	.	.	.	.	.	-0.372	0.000		29789	0.463	0.463
MEPCE	gi|46367787|gn|PABPC1:26986|	PABPC1	0.714	0.714	0.714	1	6.776	.	.	.	.	.	0.373	0.000		26986	6.776	6.776
MEPCE	gi|4506715|gn|RPS28:6234|	RPS28	2.784	2.784	2.784	1	2.362	.	.	.	.	.	3.238	0.000		6234	2.362	2.362
MEPCE	gi|47419914|gn|WARS:7453|	WARS	0.377	0.377	0.377	1	0.335	.	.	.	.	.	-0.345	0.000		7453	0.335	0.335
MEPCE	gi|60218913|gn|CACYBP:27101|	CACYBP	0.156	0.156	0.156	1	0.215	.	.	.	.	.	-0.102	0.000		27101	0.215	0.215
MEPCE	gi|63162572|gn|CCT3:7203|	CCT3	1.594	1.594	1.594	1	2.083	.	.	.	.	.	2.173	0.000		7203	2.083	2.083
MEPCE	gi|4758648|gn|KIF5B:3799|	KIF5B	0.338	0.338	0.338	1	0.786	.	.	.	.	.	-1.405	0.000		3799	0.786	0.786
MEPCE	gi|224028244|gn|NONO:4841|	NONO	1.700	1.700	1.700	1	2.530	.	.	.	.	.	1.831	0.000		4841	2.53	2.53
MEPCE	gi|4758796|gn|DRG1:4733|	DRG1	0.318	0.318	0.318	1	0.306	.	.	.	.	.	-0.268	0.000		4733	0.306	0.306
MEPCE	gi|4826860|gn|NHP2L1:4809|	NHP2L1	1.201	1.201	1.201	1	.	.	.	.	.	.	-0.401	0.000		4809	0	0
MEPCE	gi|13514809|gn|DDX3Y:8653|	DDX3Y	2.036	2.036	2.036	1	6.255	.	.	.	.	.	1.110	0.000		8653	6.255	6.255
MEPCE	gi|51173724|gn|BYSL:705|	BYSL	0.582	0.582	0.582	1	0.317	.	.	.	.	.	-0.507	0.000		705	0.317	0.317
MEPCE	gi|9951915|gn|AHCY:191|	AHCY	0.733	0.733	0.733	1	1.331	.	.	.	.	.	2.564	0.000		191	1.331	1.331
MEPCE	P08727	KRT19	0.327	0.327	0.327	1	0.755	.	.	.	.	.	-1.165	0.000		3880	0.755	0.755
MEPCE	gi|11863154|gn|ARCN1:372|	ARCN1	0.250	0.250	0.250	1	0.455	.	.	.	.	.	-0.318	0.000		372	0.455	0.455
MEPCE	gi|17978469|gn|CCNT2:905|	CCNT2	0.874	0.874	0.874	1	0.076	.	.	.	.	.	-0.338	0.000		905	0.076	0.076
MEPCE	sp|BGAL_ECOLI|gn|lacZ:945006|	lacZ	0.685	0.685	0.685	1	0.501	.	.	.	.	.	-0.991	0.000		945006	0.501	0.501
MEPCE	gi|4557237|gn|ACAT1:38|	ACAT1	0.504	0.504	0.504	1	0.510	.	.	.	.	.	-0.748	0.000		38	0.51	0.51
MEPCE	gi|253970500|gn|EWSR1:2130|	EWSR1	3.654	3.654	3.654	1	3.197	.	.	.	.	.	3.144	0.000		2130	3.197	3.197
MEPCE	gi|42741682|gn|ZRANB2:9406|	ZRANB2	0.539	0.539	0.539	1	0.356	.	.	.	.	.	-0.523	0.000		9406	0.356	0.356
MEPCE	gi|4506189|gn|PSMA7:5688|	PSMA7	1.048	1.048	1.048	1	0.933	.	.	.	.	.	-15.085	0.000		5688	0.933	0.933
MEPCE	gi|5031703|gn|G3BP1:10146|	G3BP1	1.330	1.330	1.330	1	3.182	.	.	.	.	.	1.149	0.000		10146	3.182	3.182
MEPCE	gi|4504425|gn|HMGB1:3146|	HMGB1	0.779	0.779	0.779	1	0.689	.	.	.	.	.	-2.094	0.000		3146	0.689	0.689
MEPCE	gi|156713442|gn|PSMA4:5685|	PSMA4	0.920	0.920	0.920	1	0.944	.	.	.	.	.	-15.896	0.000		5685	0.944	0.944
MEPCE	gi|23510448|gn|MCM5:4174|	MCM5	0.710	0.710	0.710	1	0.640	.	.	.	.	.	-1.594	0.000		4174	0.64	0.64
MEPCE	gi|322303127|gn|RPS10:6204|	RPS10	2.476	2.476	2.476	1	2.115	.	.	.	.	.	3.305	0.000		6204	2.115	2.115
MEPCE	gi|294832006|gn|PPP2R2A:5520|	PPP2R2A	0.477	0.477	0.477	1	0.277	.	.	.	.	.	-0.371	0.000		5520	0.277	0.277
MEPCE	gi|154355000|gn|KHSRP:8570|	KHSRP	0.272	0.272	0.272	1	0.350	.	.	.	.	.	-0.259	0.000		8570	0.35	0.35
MEPCE	gi|151301219|gn|PRMT1:3276|	PRMT1	0.338	0.338	0.338	1	0.560	.	.	.	.	.	-0.582	0.000		3276	0.56	0.56
MEPCE	gi|21361144|gn|PSMC3:5702|	PSMC3	1.292	1.292	1.292	1	1.486	.	.	.	.	.	3.261	0.000		5702	1.486	1.486
MEPCE	gi|156631005|gn|PSMD8:5714|	PSMD8	0.317	0.317	0.317	1	0.327	.	.	.	.	.	-0.283	0.000		5714	0.327	0.327
MEPCE	gi|153792590|gn|HSP90AA1:3320|	HSP90AA1	8.916	8.916	8.916	1	9.585	.	.	.	.	.	3.945	0.000		3320	9.585	9.585
MEPCE	gi|38679892|gn|PIN4:5303|	PIN4	2.480	2.480	2.480	1	2.325	.	.	.	.	.	2.939	0.000		5303	2.325	2.325
MEPCE	gi|5453603|gn|CCT2:10576|	CCT2	2.775	2.775	2.775	1	3.390	.	.	.	.	.	2.273	0.000		10576	3.39	3.39
MEPCE	gi|39930523|gn|C11orf84:144097|	C11orf84	0.649	0.649	0.649	1	0.633	.	.	.	.	.	-1.422	0.000		144097	0.633	0.633
MEPCE	gi|7706425|gn|LSM8:51691|	LSM8	2.338	2.338	2.338	1	0.371	.	.	.	.	.	-2.359	0.000		51691	0.371	0.371
MEPCE	gi|4885375|gn|HIST1H1C:3006|	HIST1H1C	4.609	4.609	4.609	1	3.569	.	.	.	.	.	3.623	0.000		3006	3.569	3.569
MEPCE	gi|170763498|gn|SET:6418|	SET	2.350	2.350	2.350	1	1.324	.	.	.	.	.	8.372	0.000		6418	1.324	1.324
MEPCE	gi|114155144|gn|TPM3:7170|	TPM3	1.806	1.806	1.806	1	1.829	.	.	.	.	.	2.990	0.000		7170	1.829	1.829
MEPCE	gi|422398832|gn|PSMD6:9861|	PSMD6	0.291	0.291	0.291	1	0.707	.	.	.	.	.	-0.841	0.000		9861	0.707	0.707
MEPCE	gi|4506195|gn|PSMB2:5690|	PSMB2	0.883	0.883	0.883	1	0.872	.	.	.	.	.	-6.469	0.000		5690	0.872	0.872
MEPCE	gi|4506597|gn|RPL12:6136|	RPL12	1.740	1.740	1.740	1	0.528	.	.	.	.	.	-2.722	0.000		6136	0.528	0.528
